辣椒	家福股份有限公司太平分公司	台中市太平區中平七街66.68.70號	102/8	待克? Difenoconazole 0.12
豌豆	金大村股份有限公司楓葉營業所	台中市楓樹里黎明路1段332號	102/8	脫芬瑞 Tolfenpyrad 0.03
百香果	東港商行	澎湖縣馬公市大仁街38號	102/8	凡?同Famoxadone 0.28
甜豆	儒鈺水果行	嘉義市中興路408巷內	102/8	達克? Diniconazole 0.14;;凡?同Famoxadone 0.06
花蓮豆	喜客來有限公司	臺南市新化區中山路693-10號	102/8	護矽得 Flusilazole 0.02
桂花	世芳茶行	南投縣名間鄉名松路一段503巷13號	102/8	陶斯松 Chlorpyrifos 0.08
杏菜	宏一果菜行	雲林縣西螺鎮安定里76-6號	102/8	剋安勃 Chlorantraniliprole 0.08;;氟比來 Fluopicolide 0.05
小黃瓜	遠東都會股份有限公司-新竹店	新竹市中央路229號B1	102/8	陶斯松 Chlorpyrifos 0.03
檸檬	彰化百貨/精上百貨股份有限公司	彰化縣鹿港鎮路草路一段272號	102/8	待克? Difenoconazole 0.19
A菜	全聯實業股份有限公司花蓮建國分公司	花蓮縣吉安鄉建國路1段119-3號	102/8	氟尼胺 Flonicamid 0.1
宜洋薰衣草	大潤發	台中市北區忠明路449號	102/9	陶斯松Chlorpyrifos 0.81
甜碗豆	格登開發有限公司	台中市烏日區溪南路一段441號	102/9	達克?Diniconazole 0.31;;毆?斯Oxadixyl 0.17;;凡?同Famoxadone 0.09
小白菜	花蓮縣玉溪地區農會超市	花蓮縣玉里鎮中華路177號	102/9	氟尼胺Flonicamid 0.05
上選極品-芒果	佳婷蔬果行	基隆市華三街1號	102/9	陶斯松Chlorpyrifos 0.09
特選芒果	美華軒企業有限公司	基隆市仁愛區仁一路281號	102/9	陶斯松Chlorpyrifos 0.08
凱特芒果	宜蘭市果菜運銷合作社第59攤	宜蘭縣宜蘭市黎明二路1號	102/9	陶斯松Chlorpyrifos 0.07
空心菜	屏東縣農會麟洛辦事處臺灣農魚會超市中心	屏東縣麟洛鄉中山路一號	102/9	氟尼胺Flonicamid 0.09
